Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description,Original Concept URI
2012-04-01/p1y,2012-04-01/P1Y,2012-04-01/p1y,,0,,http://reference.data.gov.uk/id/government-year/2012-04-01/P1Y
2013-04-01/p1y,2013-04-01/P1Y,2013-04-01/p1y,,1,,http://reference.data.gov.uk/id/government-year/2013-04-01/P1Y
2014-04-01/p1y,2014-04-01/P1Y,2014-04-01/p1y,,2,,http://reference.data.gov.uk/id/government-year/2014-04-01/P1Y
2015-04-01/p1y,2015-04-01/P1Y,2015-04-01/p1y,,3,,http://reference.data.gov.uk/id/government-year/2015-04-01/P1Y
2016-04-01/p1y,2016-04-01/P1Y,2016-04-01/p1y,,4,,http://reference.data.gov.uk/id/government-year/2016-04-01/P1Y
2017-04-01/p1y,2017-04-01/P1Y,2017-04-01/p1y,,5,,http://reference.data.gov.uk/id/government-year/2017-04-01/P1Y
2018-04-01/p1y,2018-04-01/P1Y,2018-04-01/p1y,,6,,http://reference.data.gov.uk/id/government-year/2018-04-01/P1Y
2019-04-01/p1y,2019-04-01/P1Y,2019-04-01/p1y,,7,,http://reference.data.gov.uk/id/government-year/2019-04-01/P1Y
2020-04-01/p1y,2020-04-01/P1Y,2020-04-01/p1y,,8,,http://reference.data.gov.uk/id/government-year/2020-04-01/P1Y
2021-04-01/p1y,2021-04-01/P1Y,2021-04-01/p1y,,9,,http://reference.data.gov.uk/id/government-year/2021-04-01/P1Y
2022-04-01/p1y,2022-04-01/P1Y,2022-04-01/p1y,,10,,http://reference.data.gov.uk/id/government-year/2022-04-01/P1Y
